[2025-09-05 18:17:31] [INFO    ] discord.client: logging in using static token
[2025-09-05 18:17:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Dope Bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1413401213692809227', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3134', 'clan': None, 'bot': True, 'avatar': 'ad5593987fd3187f67625a0d015bc247'}, 'session_type': 'normal', 'session_id': '78f825fa93a9a2a0c2863e2a954d194c', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1413332550474272930'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-central', 'atlanta', 'us-south', 'us-east', 'newark'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1413401213692809227', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-46jr",{"micros":148022,"calls":["id_created",{"micros":509,"calls":[]},"session_lookup_time",{"micros":194,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"discord-sessions-prd-2-167",{"micros":147011,"calls":["start_session",{"micros":118999,"calls":["discord-api-prd-canary-rpc-58988d7d44-7hxhb",{"micros":77369,"calls":["get_user",{"micros":6654},"get_guilds",{"micros":2468},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":1914},"authorized_ip_coro",{"micros":5},"pending_payments",{"micros":20530},"apex_experiments",{"micros":8138},"user_activities",{"micros":5},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":60,"calls":[]},"presence_started",{"micros":8737,"calls":[]},"guilds_started",{"micros":75,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":19120,"calls":[]},"connect_finished",{"micros":19125,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-09-05 18:17:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-05 18:17:32] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 78f825fa93a9a2a0c2863e2a954d194c).
[2025-09-05 18:17:32] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-05 18:17:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'icon': '62d362c8b12016d9108ab0899e5ae00f', 'application_command_counts': {}, 'stickers': [], 'roles': [{'version': 1757035167662, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2222085186637377', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1413332550474272930', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1757054598719, 'unicode_emoji': None, 'tags': {'bot_id': '1413401213692809227'}, 'position': 2, 'permissions': '563276639759424', 'name': 'Dope Bot', 'mentionable': False, 'managed': True, 'id': '1413402742315286553', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 10487808}, 'color': 10487808}, {'version': 1757054598493, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'dope mf', 'mentionable': False, 'managed': False, 'id': '1413412014973390960', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 131586}, 'color': 131586}], 'profile': None, 'channels': [{'version': 1757035138745, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1413332551568982057', 'flags': 0}, {'version': 1757035138750, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1413332551568982058', 'flags': 0}, {'version': 1757035138756, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1413332551568982057', 'name': 'general', 'last_message_id': '1413664320948146199', 'id': '1413332551568982059', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1757035138763, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1413332551568982058', 'name': 'General', 'last_message_id': None, 'id': '1413332551568982060', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1757035167827, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1413332550474272930', 'deny': '2048', 'allow': '0'}], 'parent_id': None, 'nsfw': False, 'name': 'rules', 'last_message_id': None, 'id': '1413332673530953879', 'flags': 0}, {'version': 1757035167847, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1413332550474272930', 'deny': '1024', 'allow': '0'}], 'parent_id': None, 'nsfw': False, 'name': 'moderator-only', 'last_message_id': '1413332674369552458', 'id': '1413332673530953882', 'flags': 0}], 'hub_type': None, 'verification_level': 1, 'members': [{'user': {'username': 'Dope Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1413401213692809227', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3134', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'ad5593987fd3187f67625a0d015bc247'}, 'roles': ['1413402742315286553'], 'premium_since': None, 'pending': False, 'nick': 'Sleepy Bot', 'mute': False, 'joined_at': '2025-09-05T05:57:53.617000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'emojis': [], 'max_video_channel_users': 25, 'id': '1413332550474272930', 'premium_features': None, 'afk_timeout': 300, 'owner_configured_content_level': 0, 'presences': [], 'name': 'Sleepy Bot Server', 'inventory_settings': None, 'lazy': True, 'mfa_level': 0, 'nsfw': False, 'region': 'deprecated', 'threads': [], 'voice_states': [], 'application_id': None, 'system_channel_id': '1413332551568982059', 'premium_tier': 0, 'banner': None, 'rules_channel_id': '1413332673530953879', 'description': None, 'max_stage_video_channel_users': 50, 'soundboard_sounds': [], 'features': ['NEWS', 'COMMUNITY'], 'splash': None, 'vanity_url_code': None, 'premium_subscription_count': 0, 'activity_instances': [], 'moderator_reporting': None, 'safety_alerts_channel_id': None, 'public_updates_channel_id': '1413332673530953882', 'member_count': 2, 'large': False, 'premium_progress_bar_enabled': False, 'home_header': None, 'explicit_content_filter': 2, 'incidents_data': None, 'unavailable': False, 'joined_at': '2025-09-05T05:57:53.617000+00:00', 'latest_onboarding_question_id': None, 'guild_scheduled_events': [], 'afk_channel_id': None, 'system_channel_flags': 0, 'owner_id': '567540222238261266', 'preferred_locale': 'en-US', 'discovery_splash': None, 'version': 1757035167932, 'stage_instances': [], 'default_message_notifications': 1, 'nsfw_level': 0, 'embedded_activities': [], 'max_members': 25000000}}
[2025-09-05 18:17:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-05 18:17:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '16226708e45d4455f1611d69d8ec4964', 'members': [{'user': {'username': 'sleepy1426', 'public_flags': 64, 'primary_guild': None, 'id': '567540222238261266', 'global_name': 'Sleepy', 'display_name_styles': None, 'display_name': 'Sleepy', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1287835633733341224', 'expires_at': None, 'asset': 'a_4f2b75e5adff09709702613ea0e2cb70'}, 'avatar': 'c28e7d59e9281cc0bcc60d589afa91f3'}, 'roles': ['1413412014973390960'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-05T01:18:58.649000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Dope Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1413401213692809227', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3134', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'ad5593987fd3187f67625a0d015bc247'}, 'roles': ['1413402742315286553'], 'premium_since': None, 'pending': False, 'nick': 'Sleepy Bot', 'mute': False, 'joined_at': '2025-09-05T05:57:53.617000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1413332550474272930', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-05 18:17:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-05 18:17:32] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1413332550474272930.
[2025-09-05 18:17:34] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-05 18:17:34] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-05 18:17:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-05T23:17:36.831000+00:00', 'pinned': False, 'nonce': '1413664398739767296', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1413412014973390960'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-05T01:18:58.649000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1413664396881690745', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '.song', 'components': [], 'channel_type': 0, 'channel_id': '1413332551568982059', 'author': {'username': 'sleepy1426', 'public_flags': 64, 'primary_guild': None, 'id': '567540222238261266', 'global_name': 'Sleepy', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1287835633733341224', 'expires_at': None, 'asset': 'a_4f2b75e5adff09709702613ea0e2cb70'}, 'avatar': 'c28e7d59e9281cc0bcc60d589afa91f3'}, 'attachments': [], 'guild_id': '1413332550474272930'}}
[2025-09-05 18:17:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-05 18:17:37] [DEBUG   ] discord.client: Dispatching event message
[2025-09-05 18:17:37] [DEBUG   ] discord.client: Dispatching event command
[2025-09-05 18:17:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-05T23:17:37.074000+00:00', 'pinned': False, 'nonce': '5262824270687448443', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1413402742315286553'], 'premium_since': None, 'pending': False, 'nick': 'Sleepy Bot', 'mute': False, 'joined_at': '2025-09-05T05:57:53.617000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1413664397901037598', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'check this sick shit out bro https://youtu.be/rQ7OiGMv6wU?si=_5nQH212IxhX8u3z', 'components': [], 'channel_type': 0, 'channel_id': '1413332551568982059', 'author': {'username': 'Dope Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1413401213692809227', 'global_name': None, 'display_name_styles': None, 'discriminator': '3134', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'ad5593987fd3187f67625a0d015bc247'}, 'attachments': [], 'guild_id': '1413332550474272930'}}
[2025-09-05 18:17:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-05 18:17:37] [DEBUG   ] discord.client: Dispatching event message
[2025-09-05 18:17:37] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1413332551568982059/messages with {"content":"check this sick shit out bro https://youtu.be/rQ7OiGMv6wU?si=_5nQH212IxhX8u3z","components":[],"nonce":"5262824270687448443","enforce_nonce":true,"tts":false} has returned 200
[2025-09-05 18:17:37] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-09-05 18:17:37] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1413332551568982059/messages has received {'type': 0, 'content': 'check this sick shit out bro https://youtu.be/rQ7OiGMv6wU?si=_5nQH212IxhX8u3z', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-09-05T23:17:37.074000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1413664397901037598', 'channel_id': '1413332551568982059', 'author': {'id': '1413401213692809227', 'username': 'Dope Bot', 'avatar': 'ad5593987fd3187f67625a0d015bc247', 'discriminator': '3134', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '5262824270687448443'}
[2025-09-05 18:17:37] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-09-05 18:17:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_UPDATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-05T23:17:37.074000+00:00', 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1413402742315286553'], 'premium_since': None, 'pending': False, 'nick': 'Sleepy Bot', 'mute': False, 'joined_at': '2025-09-05T05:57:53.617000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1413664397901037598', 'flags': 0, 'embeds': [{'video': {'width': 1280, 'url': 'https://www.youtube.com/embed/rQ7OiGMv6wU', 'placeholder_version': 1, 'placeholder': 'oRgKDIBbZnePiHh9Z1VncKUBZw==', 'height': 720, 'flags': 0}, 'url': 'https://www.youtube.com/watch?v=rQ7OiGMv6wU', 'type': 'video', 'title': 'Torture - 4 - "Enduring Freedom" [Full-Length] (Slamming Brutal Dea...', 'thumbnail': {'width': 1280, 'url': 'https://i.ytimg.com/vi/rQ7OiGMv6wU/maxresdefault.jpg', 'proxy_url': 'https://images-ext-1.discordapp.net/external/bVg2mYwX_3YmEEG1mbUxPTl_W4s34Sg4ij_zHUXZ094/https/i.ytimg.com/vi/rQ7OiGMv6wU/maxresdefault.jpg', 'placeholder_version': 1, 'placeholder': 'oRgKDIBbZnePiHh9Z1VncKUBZw==', 'height': 720, 'flags': 0, 'content_type': 'image/jpeg'}, 'provider': {'url': 'https://www.youtube.com', 'name': 'YouTube'}, 'id': '1413664399289483345', 'description': 'Band: Torture\nAlbum: 4 - “Enduring Freedom” \nGenre: Slamming Brutal Death Metal\nReleased: September 11th, 2023\nLocation: Chicago, Illinois, USA \n_______________________________________\n\n9 TRACKS OF SOUL-CRUSHING, MIND-MELTING, TECHNICAL, AVANT-GARDE, & GROOVING SLAM DEATH METAL\n\nOn the 22-year anniversary of the event that shocked the world ...', 'color': 16711680, 'author': {'url': 'https://www.youtube.com/channel/UCtx_HPY5xvNJecIMVGzGR0g', 'name': 'GORESLAM PROMOTIONS'}}], 'edited_timestamp': None, 'content': 'check this sick shit out bro https://youtu.be/rQ7OiGMv6wU?si=_5nQH212IxhX8u3z', 'components': [], 'channel_type': 0, 'channel_id': '1413332551568982059', 'author': {'username': 'Dope Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1413401213692809227', 'global_name': None, 'display_name_styles': None, 'discriminator': '3134', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'ad5593987fd3187f67625a0d015bc247'}, 'attachments': [], 'guild_id': '1413332550474272930'}}
[2025-09-05 18:17:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-05 18:17:38] [DEBUG   ] discord.client: Dispatching event raw_message_edit
[2025-09-05 18:17:38] [DEBUG   ] discord.client: Dispatching event message_edit
[2025-09-05 18:17:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-05T23:17:41.250000+00:00', 'pinned': False, 'nonce': '1413664417404420096', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1413412014973390960'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-05T01:18:58.649000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1413664415416320122', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '.song', 'components': [], 'channel_type': 0, 'channel_id': '1413332551568982059', 'author': {'username': 'sleepy1426', 'public_flags': 64, 'primary_guild': None, 'id': '567540222238261266', 'global_name': 'Sleepy', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': {'sku_id': '1287835633733341224', 'expires_at': None, 'asset': 'a_4f2b75e5adff09709702613ea0e2cb70'}, 'avatar': 'c28e7d59e9281cc0bcc60d589afa91f3'}, 'attachments': [], 'guild_id': '1413332550474272930'}}
[2025-09-05 18:17:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-05 18:17:41] [DEBUG   ] discord.client: Dispatching event message
[2025-09-05 18:17:41] [DEBUG   ] discord.client: Dispatching event command
[2025-09-05 18:17:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-05T23:17:41.367000+00:00', 'pinned': False, 'nonce': '13470829751684828864', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1413402742315286553'], 'premium_since': None, 'pending': False, 'nick': 'Sleepy Bot', 'mute': False, 'joined_at': '2025-09-05T05:57:53.617000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1413664415907188798', 'flags': 0, 'embeds': [{'video': {'width': 960, 'url': 'https://www.youtube.com/embed/x72xck3LKtE', 'placeholder_version': 1, 'placeholder': 'jvcRDIIFa6d6lod4h3f7dvYrOA==', 'height': 720, 'flags': 0}, 'url': 'https://www.youtube.com/watch?v=x72xck3LKtE', 'type': 'video', 'title': 'TRACRIOMY "Cephalopodic Transmutual Contamination" Lord Of The Sick...', 'thumbnail': {'width': 1280, 'url': 'https://i.ytimg.com/vi/x72xck3LKtE/maxresdefault.jpg', 'proxy_url': 'https://images-ext-1.discordapp.net/external/FrNc2LphmZxbEd1RWX_lxmjfJZ8a0lwXG7X4aUlmzyI/https/i.ytimg.com/vi/x72xck3LKtE/maxresdefault.jpg', 'placeholder_version': 1, 'placeholder': 'jvcRDIIFa6d6lod4h3f7dvYrOA==', 'height': 720, 'flags': 0, 'content_type': 'image/jpeg'}, 'provider': {'url': 'https://www.youtube.com', 'name': 'YouTube'}, 'id': '1413664415907188799', 'description': 'LORD OF THE SICK RECORDINGS proudly presents: \n"Cephalopodic Transmutual Contamination" - first album of Guttural Slamming Brutal Death Commando. Slovakian / Taiwanese unification - is 8 tracks in best way of Epicardiectomy, Cephalotripsy, Gorevent. Cd include special double artwork. \nVocal / Mixing / Mastering - Larry Wang. Artwork - Armaada Ar...', 'color': 16711680, 'author': {'url': 'https://www.youtube.com/channel/UCySiTo9Vtu_sl8Xx4b1DJBg', 'name': 'Lord Of The Sick Recordings'}}], 'edited_timestamp': None, 'content': 'check this sick shit out bro https://youtu.be/x72xck3LKtE?si=lELYYGAsoGlPUwRz', 'components': [], 'channel_type': 0, 'channel_id': '1413332551568982059', 'author': {'username': 'Dope Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1413401213692809227', 'global_name': None, 'display_name_styles': None, 'discriminator': '3134', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'ad5593987fd3187f67625a0d015bc247'}, 'attachments': [], 'guild_id': '1413332550474272930'}}
[2025-09-05 18:17:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-05 18:17:42] [DEBUG   ] discord.client: Dispatching event message
[2025-09-05 18:17:42] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1413332551568982059/messages with {"content":"check this sick shit out bro https://youtu.be/x72xck3LKtE?si=lELYYGAsoGlPUwRz","components":[],"nonce":"13470829751684828864","enforce_nonce":true,"tts":false} has returned 200
[2025-09-05 18:17:42] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1413332551568982059/messages has received {'type': 0, 'content': 'check this sick shit out bro https://youtu.be/x72xck3LKtE?si=lELYYGAsoGlPUwRz', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'video', 'url': 'https://www.youtube.com/watch?v=x72xck3LKtE', 'title': 'TRACRIOMY "Cephalopodic Transmutual Contamination" Lord Of The Sick...', 'description': 'LORD OF THE SICK RECORDINGS proudly presents: \n"Cephalopodic Transmutual Contamination" - first album of Guttural Slamming Brutal Death Commando. Slovakian / Taiwanese unification - is 8 tracks in best way of Epicardiectomy, Cephalotripsy, Gorevent. Cd include special double artwork. \nVocal / Mixing / Mastering - Larry Wang. Artwork - Armaada Ar...', 'color': 16711680, 'author': {'name': 'Lord Of The Sick Recordings', 'url': 'https://www.youtube.com/channel/UCySiTo9Vtu_sl8Xx4b1DJBg'}, 'provider': {'name': 'YouTube', 'url': 'https://www.youtube.com'}, 'thumbnail': {'url': 'https://i.ytimg.com/vi/x72xck3LKtE/maxresdefault.jpg', 'proxy_url': 'https://images-ext-1.discordapp.net/external/FrNc2LphmZxbEd1RWX_lxmjfJZ8a0lwXG7X4aUlmzyI/https/i.ytimg.com/vi/x72xck3LKtE/maxresdefault.jpg', 'width': 1280, 'height': 720, 'content_type': 'image/jpeg', 'placeholder': 'jvcRDIIFa6d6lod4h3f7dvYrOA==', 'placeholder_version': 1, 'flags': 0}, 'video': {'url': 'https://www.youtube.com/embed/x72xck3LKtE', 'width': 960, 'height': 720, 'placeholder': 'jvcRDIIFa6d6lod4h3f7dvYrOA==', 'placeholder_version': 1, 'flags': 0}}], 'timestamp': '2025-09-05T23:17:41.367000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1413664415907188798', 'channel_id': '1413332551568982059', 'author': {'id': '1413401213692809227', 'username': 'Dope Bot', 'avatar': 'ad5593987fd3187f67625a0d015bc247', 'discriminator': '3134', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '13470829751684828864'}
[2025-09-05 18:17:42] [DEBUG   ] discord.client: Dispatching event command_completion
